,Af,Am,Aw,Cfb,Cfa,Csb,Csc,Dfb,Dfc,ET
Apple,3,3,3,10,6,7,10,8,4,1
Banana,5,5,5,7,7,10,7,4,2,0
Mango,2,2,2,3,3,5,3,2,0,0
Orange,10,10,10,4,7,5,4,2,0,0
Peach,0,0,0,2,0,1,2,3,6,9
Pear,10,10,10,4,7,5,4,2,0,0
Papaya,2,2,2,3,3,5,3,2,0,0
Pineapple,0,0,0,2,0,1,2,3,6,9
Watermelon,2,2,2,3,3,5,3,2,0,0
Cucumber,5,5,5,7,7,10,7,4,2,0
Tomato,2,2,2,3,3,5,3,2,0,0
Avocado,5,5,5,7,7,10,7,4,2,0
Spinach,5,5,5,7,7,10,7,4,2,0
Kale,2,2,2,3,3,5,3,2,0,0
Lettuce,0,0,0,2,0,1,2,3,6,9
Swiss Chard,2,2,2,3,3,5,3,2,0,0
Beet Greens,0,0,0,2,0,1,2,3,6,9
Radish,2,2,2,3,3,5,3,2,0,0
Carrot,10,10,10,4,7,5,4,2,0,0
Broccoli,10,10,10,4,7,5,4,2,0,0
Cauliflower,5,5,5,7,7,10,7,4,2,0
Cabbage,2,2,2,3,3,5,3,2,0,0
Brussels Sprouts,5,5,5,7,7,10,7,4,2,0
Zucchini,3,3,3,10,6,7,10,8,4,1
Squash,2,2,2,3,3,5,3,2,0,0
Pumpkin,10,10,10,4,7,5,4,2,0,0
Sweet Potato,3,3,3,10,6,7,10,8,4,1
Potato,0,0,0,2,0,1,2,3,6,9
Corn,2,2,2,3,3,5,3,2,0,0
Rice,10,10,10,4,7,5,4,2,0,0
Wheat,3,3,3,10,6,7,10,8,4,1
Barley,10,10,10,4,7,5,4,2,0,0
Oats,0,0,0,2,0,1,2,3,6,9
Quinoa,10,10,10,4,7,5,4,2,0,0
Lentils,2,2,2,3,3,5,3,2,0,0
Chickpeas,0,0,0,2,0,1,2,3,6,9
Peas,5,5,5,7,7,10,7,4,2,0
Beans,5,5,5,7,7,10,7,4,2,0
Soybeans,10,10,10,4,7,5,4,2,0,0
Almond,3,3,3,10,6,7,10,8,4,1
Walnut,10,10,10,4,7,5,4,2,0,0
Pecan,5,5,5,7,7,10,7,4,2,0
Hazelnut,5,5,5,7,7,10,7,4,2,0
Chestnut,2,2,2,3,3,5,3,2,0,0
