Disease,Fever,Heart Rate,Breath Rate,Blood Pressure,Symptoms,Type,Incubation Time (days),Period of Illness (days),Duration,Infectious
Snorglesniff,no,faster,slower,high,"muscle aches, sleepy",Idiopathic,3,20,Chronic,yes
Coughadoodle,no,normal,slower,normal,"coughing, shortness of breath, diarrhea",Nutritional deficiency,5,9,Chronic,yes
Fumbleitis,yes,normal,faster,high,"diarrhea, coughing, sleepy, shortness of breath",Congenital,14,21,Chronic,yes
Giggleflux,yes,normal,slower,normal,"shortness of breath, diarrhea, muscle aches",Inherited,14,8,Acute,yes
Sneezequake,yes,slower,slower,low,"diarrhea, fatigue, coughing, muscle aches, shortness of breath, sleepy",Idiopathic,6,4,Chronic,yes
Toe Tangle,no,slower,normal,high,fatigue,Endocrine,9,13,Acute,yes
Elbow Wiggle Syndrome,yes,normal,faster,high,"diarrhea, shortness of breath, fatigue",Nutritional deficiency,5,12,Acute,no
Brain Freeze Disorder,yes,faster,normal,low,"diarrhea, coughing, sleepy, muscle aches, fatigue",Congenital,3,21,Acute,no
Blabber Mouth,no,slower,normal,high,"fatigue, sleepy",Nutritional deficiency,1,5,Chronic,no
Wiggleworm Fever,no,normal,faster,normal,shortness of breath,Idiopathic,6,1,Chronic,no
Itchy Nose Syndrome,no,normal,slower,low,"shortness of breath, sleepy, fatigue, muscle aches, coughing",Idiopathic,6,8,Acute,no
Smirk Spasm,no,slower,slower,low,"fatigue, shortness of breath, diarrhea, muscle aches, sleepy, coughing",Inherited,10,17,Chronic,yes
Jelly Legs,yes,slower,faster,high,"diarrhea, muscle aches, sleepy, shortness of breath, coughing, fatigue",Nutritional deficiency,13,17,Chronic,no
Pickle Pox,no,normal,faster,high,"fatigue, sleepy, muscle aches, diarrhea",Endocrine,14,19,Acute,yes
Hiccuphobia,yes,normal,normal,low,"shortness of breath, sleepy, coughing, muscle aches, fatigue, diarrhea",Inherited,11,20,Chronic,yes
Belly Button Bounce,yes,slower,faster,high,"muscle aches, shortness of breath, sleepy",Congenital,6,19,Chronic,no
Eye Twitch Fever,yes,faster,faster,low,"coughing, sleepy, muscle aches, fatigue",Endocrine,1,13,Chronic,yes
Snore-a-palooza,no,slower,faster,high,coughing,Nutritional deficiency,14,18,Acute,yes
Stumblebum Syndrome,yes,slower,slower,normal,"fatigue, muscle aches, sleepy, diarrhea, shortness of breath",Neoplastic,14,1,Chronic,yes
Gigglicious,no,faster,faster,low,"shortness of breath, diarrhea, muscle aches, sleepy, coughing",Neoplastic,1,1,Acute,yes
Chewbug Syndrome,yes,slower,normal,low,"coughing, muscle aches, sleepy",Degenerative,7,8,Chronic,no
Earwax Overflow,yes,faster,faster,normal,"fatigue, diarrhea, muscle aches, sleepy, coughing, shortness of breath",Congenital,2,4,Chronic,no
Laughter Laryngitis,yes,normal,slower,low,"fatigue, shortness of breath, coughing, sleepy",Nutritional deficiency,5,15,Acute,yes
Hair Frizzitis,yes,normal,slower,high,"shortness of breath, coughing",Idiopathic,8,9,Acute,no
Lip Quiver Flu,no,normal,normal,low,"muscle aches, coughing",Congenital,14,2,Acute,yes
Kneecap Knots,no,faster,faster,normal,"diarrhea, sleepy, coughing, shortness of breath",Neoplastic,10,19,Acute,no
Wigglewig Fever,no,normal,normal,low,muscle aches,Idiopathic,1,10,Acute,yes
Butterfingers Disorder,no,faster,faster,low,"diarrhea, muscle aches, sleepy",Neoplastic,13,18,Chronic,no
Dandruff Avalanche,no,faster,normal,high,"sleepy, coughing, fatigue",Endocrine,1,16,Chronic,no
Freckle Sprout,no,faster,faster,normal,"sleepy, coughing",Degenerative,3,12,Acute,no
Mustache Mishap,no,normal,faster,high,"fatigue, coughing, diarrhea, shortness of breath, muscle aches, sleepy",Endocrine,14,4,Acute,yes
Knuckle Knock Fever,no,normal,normal,high,"diarrhea, muscle aches, sleepy, shortness of breath, coughing, fatigue",Nutritional deficiency,7,13,Acute,yes
Toe Jamitis,no,faster,normal,low,"muscle aches, coughing, sleepy, shortness of breath, fatigue",Degenerative,12,1,Chronic,yes
Chatterbox Syndrome,no,slower,faster,low,"coughing, shortness of breath, fatigue, diarrhea, sleepy, muscle aches",Inherited,9,2,Chronic,yes
Guffaw Glitch,yes,faster,faster,normal,"coughing, shortness of breath",Congenital,1,17,Chronic,yes
Sneeze Surplus,yes,slower,slower,low,"sleepy, muscle aches",Endocrine,11,7,Chronic,no
Wink Warp,yes,faster,normal,high,"diarrhea, sleepy, coughing",Endocrine,3,20,Chronic,no
Finger Fidget Flu,yes,slower,normal,high,"fatigue, diarrhea",Idiopathic,2,19,Chronic,yes
Loopy Tongue,no,slower,slower,low,"diarrhea, sleepy",Degenerative,11,3,Chronic,yes
Shiver Shakes,yes,normal,slower,normal,diarrhea,Inherited,10,14,Chronic,yes
Silly Spasm,yes,slower,faster,high,"sleepy, coughing",Nutritional deficiency,14,3,Chronic,no
Sniffle Storm,yes,slower,faster,high,"fatigue, muscle aches, sleepy, shortness of breath, coughing, diarrhea",Endocrine,13,2,Acute,no
Belly Jiggles,no,normal,normal,low,"fatigue, coughing, diarrhea",Endocrine,4,9,Acute,no
Ear Wobble Fever,yes,slower,normal,high,sleepy,Inherited,13,21,Acute,no
Tickleitis,yes,slower,faster,low,"diarrhea, sleepy, muscle aches, coughing",Neoplastic,10,18,Chronic,no
Nose Wiggle Syndrome,yes,slower,normal,low,"coughing, fatigue, sleepy, muscle aches, shortness of breath, diarrhea",Idiopathic,6,21,Acute,yes
Flip Flop Flu,no,faster,normal,low,"fatigue, shortness of breath, diarrhea, muscle aches",Congenital,1,11,Chronic,yes
Grin-a-thon,yes,normal,slower,high,diarrhea,Neoplastic,3,19,Acute,no
Whistle Whimsy,yes,faster,normal,low,"shortness of breath, fatigue, sleepy, diarrhea, coughing",Idiopathic,9,5,Acute,no
Toe Wiggle Flu,no,slower,faster,normal,"shortness of breath, fatigue, sleepy",Nutritional deficiency,13,13,Chronic,no
Guffaw Gallop,yes,slower,normal,low,"muscle aches, sleepy, diarrhea, shortness of breath, coughing, fatigue",Endocrine,10,11,Acute,yes
Yawn Yodeling,yes,faster,slower,normal,"shortness of breath, sleepy, muscle aches, fatigue",Degenerative,14,17,Chronic,yes
