Name,Type,Days of Treatment,Dosage,Treatment
Neoumiomono,stimulant,2,3.8,Inherited
Thernixori,antibiotic,11,9.6,Idiopathic
Vitaondiori,tranquilizer,18,9.0,Neoplastic
Pharmaumiotrol,stimulant,4,5.6,Inherited
Pharmaumiotrol,stabilizer,15,6.9,Neoplastic
Vitaumiotrol,tranquilizer,4,0.6,Congenital
Pharmavritrol,tranquilizer,19,2.2,Nutritional deficiency
Neotylsaki,stabilizer,4,3.8,Inherited
Vitadomonex,stabilizer,6,4.1,Endocrine
Neonixyaku,stabilizer,19,5.6,Idiopathic
Neoonditrol,antibiotic,7,4.7,Inherited
Neodomosaki,antibiotic,16,4.4,Inherited
Therumiosaki,stabilizer,8,1.5,Congenital
Medtylsaki,tranquilizer,19,6.8,Nutritional deficiency
Medondimono,painkiller,17,7.4,Idiopathic
Vitaumiosaki,statin,12,6.0,Nutritional deficiency
Pharmaclamnex,tranquilizer,7,7.4,Endocrine
Therfentratrol,stabilizer,21,4.7,Congenital
Thernixnai,stabilizer,8,9.3,Congenital
Neoumionex,stabilizer,18,7.9,Nutritional deficiency
Vitahultrol,antibiotic,6,4.6,Endocrine
Pharmadomosaki,antiseptic,12,7.5,Neoplastic
Pharmayammono,tranquilizer,1,2.0,Neoplastic
Vitacrisnex,statin,20,6.8,Degenerative
Medyammono,antipyretics,6,5.4,Degenerative
Thernixnai,painkiller,8,2.4,Endocrine
Medyamori,painkiller,1,8.0,Inherited
Thertylnex,painkiller,11,4.7,Neoplastic
Medondimono,tranquilizer,21,6.3,Degenerative
Vitaumionai,stabilizer,17,3.7,Endocrine
Neoondinex,tranquilizer,2,7.4,Neoplastic
Thervrinex,antibiotic,20,9.0,Inherited
Neoyamzine,painkiller,6,2.3,Endocrine
Pharmahultrol,stabilizer,9,5.6,Congenital
Therhulnex,tranquilizer,7,0.7,Nutritional deficiency
Medilexnex,statin,5,2.0,Idiopathic
Medcrismono,statin,3,2.9,Endocrine
Pharmacriszine,painkiller,19,1.3,Degenerative
Medilextrol,antipyretics,6,1.1,Inherited
Therumiozine,antibiotic,15,8.6,Idiopathic
Therumiosaki,antipyretics,11,8.3,Idiopathic
Medyamnex,painkiller,5,4.5,Inherited
Vitadomosaki,statin,6,7.4,Inherited
Neoumiozine,antiseptic,8,8.2,Degenerative
Medcristrol,antiseptic,19,4.4,Congenital
Pharmadomoori,statin,9,0.8,Idiopathic
Medvrizine,stabilizer,19,9.6,Idiopathic
Pharmaondiori,statin,17,8.5,Idiopathic
Vitaumiotrol,painkiller,13,4.5,Inherited
Neoumiosaki,antibiotic,10,3.2,Nutritional deficiency
Medondiyaku,stimulant,18,2.4,Congenital
Mednixori,antibiotic,16,3.9,Inherited
Neoumioori,painkiller,6,9.6,Neoplastic
Pharmacrismono,stabilizer,1,9.6,Neoplastic
Pharmanixmono,stabilizer,3,7.0,Degenerative
Therdomosaki,antiseptic,14,3.2,Neoplastic
Mednixyaku,statin,1,4.7,Degenerative
Neovriyaku,antiseptic,5,4.5,Degenerative
Therdomonai,antibiotic,20,5.5,Endocrine
Vitaclamtrol,painkiller,9,8.9,Endocrine
Medtylsaki,statin,3,1.6,Congenital
Medondinai,antibiotic,15,0.7,Nutritional deficiency
Neoondinai,painkiller,18,8.4,Idiopathic
Pharmacrisnai,statin,3,7.3,Idiopathic
Thercrisnai,stabilizer,11,2.8,Nutritional deficiency
Pharmacrismono,stabilizer,4,6.8,Inherited
Therclamzine,stimulant,9,2.3,Idiopathic
Pharmafentraori,painkiller,17,3.8,Degenerative
Therclammono,antiseptic,11,8.5,Inherited
Vitavrinex,stabilizer,15,6.6,Congenital
Theryamsaki,antibiotic,14,7.3,Inherited
Medilextrol,tranquilizer,11,5.4,Neoplastic
Vitanixori,antiseptic,2,6.4,Degenerative
Medtylyaku,antiseptic,12,9.9,Endocrine
Theryamsaki,stabilizer,18,9.6,Congenital
Medilexsaki,statin,20,1.3,Congenital
Neofentrayaku,stabilizer,12,6.2,Neoplastic
Therondisaki,statin,20,8.3,Idiopathic
Neoumioori,statin,10,1.9,Nutritional deficiency
Medtylnex,antiseptic,5,2.4,Nutritional deficiency
Pharmaclamnai,painkiller,19,2.0,Congenital
Vitailexori,statin,7,7.4,Idiopathic
Medilexnai,antipyretics,10,8.4,Endocrine
Therhultrol,stabilizer,20,2.3,Nutritional deficiency
Neoyamsaki,statin,16,8.8,Neoplastic
Mednixsaki,tranquilizer,9,2.7,Neoplastic
Pharmacristrol,antibiotic,12,6.3,Nutritional deficiency
Vitavritrol,tranquilizer,5,4.6,Nutritional deficiency
Medondizine,tranquilizer,13,1.3,Degenerative
Medclamyaku,antibiotic,5,6.9,Idiopathic
Thertylori,antiseptic,14,9.1,Congenital
Pharmahulnex,statin,7,5.5,Nutritional deficiency
Medhulmono,antipyretics,19,1.1,Degenerative
Medilexzine,stimulant,8,2.8,Neoplastic
Therilexyaku,statin,7,9.6,Congenital
Medhulmono,stimulant,1,5.9,Congenital
Pharmanixsaki,tranquilizer,1,4.1,Nutritional deficiency
Thertylori,antibiotic,6,1.7,Idiopathic
Pharmadomomono,stabilizer,3,4.2,Idiopathic
Medtylmono,antipyretics,12,6.8,Neoplastic
